rep,id,r,g,b,X,Y,Z
0,0,0,0,0,0.00014409339163054167,0.0001595318434444288,0.0002133435130549017
0,1,255,255,255,0.38541070314533876,0.42523319632232726,0.3860684659863883
0,2,11,115,212,0.0645011709503352,0.06873078320266632,0.28390818021142045
0,3,157,218,2,0.1688118088494961,0.285820789968582,0.014996272709451496
0,4,242,14,183,0.2797318223093828,0.1424254245179553,0.18671325570773636
0,5,101,163,110,0.07989323606923003,0.13551055157584455,0.06634074115982047
0,6,92,34,56,0.030056224858111952,0.017898410042617798,0.014507212854808956
0,7,202,139,237,0.21387128878128078,0.15485594335709482,0.3495786920868961
0,8,164,93,84,0.11398808300206031,0.08139102921206369,0.03551941107410338
0,9,51,244,130,0.13285274321099447,0.33377286458541267,0.09887890268686589
0,10,36,29,67,0.007730917505577061,0.005946713732308958,0.02145446799650022
0,11,178,180,147,0.17519167976841277,0.1998465427294849,0.11830530543931995
0,12,220,100,46,0.22002096235213464,0.13756506911752894,0.009893369264467676
0,13,75,202,248,0.13453097940245576,0.20365876545897213,0.3951869465011653
0,14,115,76,174,0.07283228773223234,0.05032581904577794,0.17713418881086912
0,15,229,229,120,0.30353557306417794,0.357746932514942,0.07726167881633732
0,16,139,50,194,0.09850859212230868,0.05475529797342689,0.2277034795653015
0,17,29,155,21,0.042297536478097385,0.11377419207880739,0.00871829196781873
0,18,17,60,154,0.02754469738235441,0.02294337169989429,0.13625824950668117
0,19,134,149,76,0.09543716048451939,0.1247377759880839,0.031642937637244246
0,20,232,66,246,0.2656337895749271,0.14088691122171226,0.37570321569695336
0,21,126,235,32,0.1507152075459493,0.32069532710704485,0.021587672912864488
0,22,71,109,118,0.04104517810385209,0.056787050606619,0.07490181550687694
0,23,208,196,160,0.23777707558259967,0.25271277035114736,0.14090197312205976
0,24,191,19,27,0.15028864826070326,0.0766826157571096,0.0028864443252876373
0,25,41,186,203,0.097899489717941,0.17086822094112653,0.256684955245087
0,26,63,83,12,0.02044373358843769,0.03148980346562687,0.0024088734460288672
0,27,169,250,218,0.23049102146976108,0.36199931155822557,0.28989277854994716
0,28,198,44,96,0.16696365584163259,0.08834254750331712,0.044496545084949865
0,29,81,133,182,0.07193706534748177,0.08890293789833902,0.1986437668560573
0,30,104,4,223,0.08143593192384455,0.04176145924896934,0.3195553387669792
0,31,254,169,55,0.33205684734130586,0.2596396276572298,0.017456592974984385
0,32,144,125,140,0.10446596714021389,0.09868420997412101,0.10685121991626356
0,33,7,212,90,0.09121425176229474,0.24238438243830315,0.052103564712363395
0,34,2,11,40,0.0015453186783868362,0.0011355230732571495,0.007496664752119668
0,35,151,162,254,0.16026884888489693,0.1520373907993634,0.4141678679551288
0,36,249,117,69,0.30090906189280564,0.18791479126112895,0.021016096395614418
0,37,112,219,146,0.13388189246962992,0.2615534888393433,0.12184609874726222
0,38,86,90,196,0.0669374456210815,0.053821973639331465,0.236266682294407
0,39,192,243,19,0.24185690007024224,0.3787309694782651,0.020393865649385813
0,40,173,37,168,0.13396597199017948,0.07037359409103681,0.16056698369235564
0,41,56,141,126,0.05111343987961289,0.09335513392461309,0.08745958146112132
0,42,46,101,189,0.05308861413794356,0.05402765854686529,0.2185232336185842
0,43,183,204,105,0.19478209836107785,0.2565412771099962,0.061181960017082135
0,44,213,28,210,0.2158020831102507,0.11049846604324037,0.26613716670951854
0,45,64,178,4,0.06542868593036683,0.16029853324721036,0.009971964753052428
0,46,121,52,82,0.056315163140795196,0.03516105331152711,0.03394986022070636
0,47,239,157,132,0.2874468279774769,0.2193726964732231,0.08766635753454545
0,48,129,74,62,0.06514207323830407,0.04750753441020285,0.018336497758844043
0,49,24,226,232,0.14132561295880994,0.26706635724640915,0.3423613621382328
0,50,26,68,102,0.016526375618170143,0.021171574215556897,0.05525517817320761
0,51,140,236,176,0.1780668330095209,0.31591173622639035,0.18202826960681584
0,52,225,58,10,0.22864085584846483,0.12309731381029328,0.0009565458416883804
0,53,116,147,220,0.11105025663852845,0.1177134481384768,0.3051788928744563
0,54,77,22,138,0.034467691503800975,0.018574956336563093,0.1053427664133632
0,55,219,188,92,0.25291180319853546,0.25245764530231884,0.04622248081676646
0,56,181,107,229,0.17043195074193568,0.11111080784076006,0.3283295134504559
0,57,36,194,49,0.07176159211684979,0.19258694280373678,0.02120524769333294
0,58,54,43,240,0.07105465263021561,0.03913632290450085,0.37812022117702787
0,59,163,131,38,0.12215373475570916,0.11671902278490136,0.010023620007335634
0,60,205,84,156,0.19208469884633367,0.1133806796099938,0.13194514308802424
0,61,91,253,74,0.15071989259176335,0.3720967726911053,0.04353527015448039
0,62,98,123,29,0.051907560116904644,0.07627593635101387,0.007259526345417464
0,63,243,209,201,0.32805657412857886,0.309887546255883,0.23303715541947215
0,64,154,5,112,0.09735132804115183,0.04959012584460136,0.06466430457723224
0,65,12,172,166,0.07427240761321473,0.1464146644625656,0.1631484597543407
0,66,15,39,122,0.015956316461427162,0.01187386979765472,0.08086460181206132
0,67,153,143,171,0.12918126262047958,0.12681602492649705,0.16872548688147407
0,68,246,88,22,0.28840421387257453,0.16501015709563127,0.0025989546443448293
0,69,97,241,192,0.15841173755661334,0.3189485975642952,0.22322568625480485
0,70,88,119,150,0.0607282364430965,0.07267841337354072,0.12762301621263486
0,71,206,221,64,0.2476108082658657,0.32084294699324295,0.02958424995267244
0,72,160,9,249,0.14349629655610044,0.07348215175363118,0.4030617264076124
0,73,55,160,45,0.051360602080346644,0.1233958359194776,0.015643325638990773
0,74,32,72,236,0.06854053003455142,0.045271083296051645,0.36376293806368465
0,75,182,224,58,0.2081707978338154,0.3126663206244911,0.0275097100918426
0,76,216,54,128,0.21014728456721113,0.11234050965806436,0.08217727636739694
0,77,79,159,87,0.06328062583040206,0.12459148176748788,0.04438333156343635
0,78,119,26,1,0.049530148740049317,0.026547844474749754,0.0006442804322857235
0,79,225,176,214,0.27047023383671326,0.22757624794265027,0.2728240314011004
0,80,143,103,108,0.09222795249967097,0.0768288481960771,0.06082413007708802
0,81,25,206,186,0.10603850989829093,0.21720764335411985,0.21068742737734011
0,82,21,105,52,0.019353764053228292,0.04641186441889879,0.015141273189400844
0,83,130,192,226,0.14754261774168806,0.19543486886884057,0.3218882725574591
0,84,236,24,88,0.257955351721217,0.13168481256261436,0.035598206406781935
0,85,122,190,142,0.11749096012037245,0.19358515777678104,0.11377125423332682
0,86,67,56,215,0.06255641188184605,0.03775083877253263,0.2948359327822088
0,87,212,145,15,0.2164376743587403,0.17701986562935865,0.005614568588699746
0,88,187,70,180,0.16178608232816039,0.09196157151009106,0.18735839265894288
0,89,45,238,98,0.1212774904764287,0.31712395124369996,0.06203128097713322
0,90,59,7,162,0.034820845645106006,0.018060918415796025,0.15428935594898652
0,91,173,174,116,0.16204119453766658,0.187972034411136,0.07231701317377437
0,92,194,121,206,0.1885825283591086,0.13085962753063266,0.25618739901940063
