rep,id,r,g,b,X,Y,Z
0,0,0,0,0,0.00016497858883488626,0.00015006138895568585,0.0002405088443972013
0,1,255,255,255,0.40096723852524485,0.44006325978014776,0.4006929702935681
0,2,11,115,212,0.06561886085027317,0.06993524791417588,0.2894117652153533
0,3,157,218,2,0.17079378370312784,0.2889793544508483,0.015395898314641223
0,4,242,14,183,0.28540559376657954,0.1453616114889327,0.1907209261590361
0,5,101,163,110,0.08074628677956751,0.1369459852943599,0.06748591665140051
0,6,92,34,56,0.030280069557115034,0.01799850729791505,0.014692945041620002
0,7,202,139,237,0.21971004827217905,0.15946225948943893,0.3578053987376256
0,8,164,93,84,0.11543763644230383,0.08252925646557828,0.036099500192321624
0,9,51,244,130,0.134575961871813,0.33737676579805914,0.10171543680816603
0,10,36,29,67,0.0077151776658584865,0.005931892659228934,0.02176338608282427
0,11,178,180,147,0.178183654658772,0.2030308011462148,0.12111896909785407
0,12,220,100,46,0.22300097526018384,0.13949492354638401,0.01000513537693157
0,13,75,202,248,0.13749945122940327,0.2083828603484081,0.40535676671593784
0,14,115,76,174,0.07438649164409425,0.0513647634167798,0.1803778587688481
0,15,229,229,120,0.3094819048921471,0.3640143859079794,0.07964019017358749
0,16,139,50,194,0.10041929561015221,0.05568462083367443,0.23206473696595808
0,17,29,155,21,0.04251358909117371,0.11429040662798566,0.008815303167895552
0,18,17,60,154,0.028198427990331787,0.023328639383006465,0.1384815213242341
0,19,134,149,76,0.0967669407154982,0.12610018359221808,0.03237308941793226
0,20,232,66,246,0.27297202225871814,0.14520950959380174,0.3849267845301798
0,21,126,235,32,0.15201791241109397,0.3237675047931436,0.02180273585844295
0,22,71,109,118,0.041595688271245226,0.05734625071932567,0.07612868086444614
0,23,208,196,160,0.2423576203016022,0.257373273795076,0.14451626256469313
0,24,191,19,27,0.15183297217760305,0.07753108725951699,0.0028108797360147124
0,25,41,186,203,0.09981916305831251,0.17376903129010363,0.26232532168491957
0,26,63,83,12,0.020552574844823143,0.03165303278158194,0.002392502205147642
0,27,169,250,218,0.23649667537753252,0.3703320552447191,0.29719660358672134
0,28,198,44,96,0.16920148674215493,0.08959176774337252,0.04540579496539724
0,29,81,133,182,0.07326595609827294,0.09053407990314835,0.20227643244610988
0,30,104,4,223,0.08330443813190871,0.04271940692733492,0.3256736605157837
0,31,254,169,55,0.3376743347208221,0.264438545444378,0.017656077431282852
0,32,144,125,140,0.10619173211715353,0.10032147147700063,0.1088133277587043
0,33,7,212,90,0.09175960763250234,0.24396186375887952,0.05295611948406009
0,34,2,11,40,0.0015233168206632917,0.0010654112131168348,0.007610241904248452
0,35,151,162,254,0.16492129562350757,0.15697196658660043,0.42467814001877746
0,36,249,117,69,0.30557769698286064,0.19122882924383325,0.02132851133447325
0,37,112,219,146,0.1359915157459585,0.2650049973852507,0.12479221723261426
0,38,86,90,196,0.06828778132221397,0.05481211416088328,0.24051535801982427
0,39,192,243,19,0.2451120746133399,0.3836639934702583,0.02032788473787981
0,40,173,37,168,0.13626870120549867,0.07154172881693746,0.1634491553547228
0,41,56,141,126,0.05163913641831226,0.09416465238532136,0.08902214537630139
0,42,46,101,189,0.05407806048651654,0.054960198387583495,0.2223113110792408
0,43,183,204,105,0.19792156775531908,0.26013319686372594,0.06289930528257022
0,44,213,28,210,0.22049309235052536,0.11298787315364242,0.2719967891581445
0,45,64,178,4,0.06582930379695645,0.1612431506878674,0.009888443020075171
0,46,121,52,82,0.05694938870919336,0.03557143291337183,0.03443256022950712
0,47,239,157,132,0.29262067386262985,0.22369717369581735,0.0897540452978854
0,48,129,74,62,0.06577150348820207,0.047993660283242076,0.01857767922005613
0,49,24,226,232,0.14439566255934708,0.272529342536763,0.3509303032698925
0,50,26,68,102,0.016708834056117776,0.02132882555082462,0.05609051371106474
0,51,140,236,176,0.18172977011032165,0.32145914413642745,0.18599309933538058
0,52,225,58,10,0.23152088301144286,0.12468841742146482,0.000976664809754484
0,53,116,147,220,0.11329096264192842,0.12023744899494228,0.3114170214555019
0,54,77,22,138,0.03492230443566935,0.018747182183452414,0.10704422293553954
0,55,219,188,92,0.2565882629674821,0.25624033650990274,0.04724284492531024
0,56,181,107,229,0.174895937527743,0.11406549517980775,0.3357025126278042
0,57,36,194,49,0.07234094226844047,0.19364476713081233,0.021577797063528716
0,58,54,43,240,0.07250597501925546,0.039953896364926314,0.3850213455929446
0,59,163,131,38,0.12351161970753331,0.11792356634224392,0.010099364634645525
