rep,id,r,g,b,x,y,z
0,0,0,0,0,0.000122046301836,0.000140471061234,0.000230315791466
0,1,255,255,255,0.397594249264626,0.435374155403306,0.393928539587204
0,2,11,115,212,0.06521487008507,0.06998574079739,0.288199012022327
0,3,157,218,2,0.172632220064375,0.290959218095024,0.015369355653582
0,4,242,14,183,0.28487212495824,0.144968845527764,0.189127876412561
0,5,101,163,110,0.081720120816016,0.138343986895195,0.067369976918285
0,6,92,34,56,0.030945681465196,0.018365506719204,0.014589306535106
0,7,202,139,237,0.218124201616489,0.158225939278584,0.353310956507731
0,8,164,93,84,0.116713185828463,0.083405442375545,0.036017644432078
0,9,51,244,130,0.134980875360358,0.337823082653549,0.101088729503813
0,10,36,29,67,0.007861864957727,0.006016275427604,0.021754150846578
0,11,178,180,147,0.178814143341282,0.20373843522484,0.1199991905663
0,12,220,100,46,0.224125702012872,0.140309517676241,0.009713229571182
0,13,75,202,248,0.136820865087251,0.207136976086976,0.400577404788531
0,14,115,76,174,0.074588025606481,0.051602119307111,0.179524635839947
0,15,229,229,120,0.309229741549341,0.36369169294579,0.078524604428235
0,16,139,50,194,0.100433735772982,0.055895878127656,0.230171143827818
0,17,29,155,21,0.043218619787867,0.115787680437041,0.008502112788822
0,18,17,60,154,0.028165533723878,0.023558228547161,0.138092356199758
0,19,134,149,76,0.097863520150358,0.127447084264789,0.032137992194854
0,20,232,66,246,0.270353016479452,0.143812575474198,0.379829591135662
0,21,126,235,32,0.153659316812973,0.325329729152043,0.021670427328544
0,22,71,109,118,0.042111970634364,0.058090776324421,0.075951168697843
0,23,208,196,160,0.242096861566144,0.2572788402415,0.142797185451064
0,24,191,19,27,0.153077101587932,0.078028695505189,0.002677634067293
0,25,41,186,203,0.099423823016365,0.173644370696697,0.259751839517253
0,26,63,83,12,0.021080021662148,0.032384975546252,0.002286267912049
0,27,169,250,218,0.234914010835499,0.368050914767522,0.293632850242163
0,28,198,44,96,0.169826192518959,0.089988435974938,0.045157341140924
0,29,81,133,182,0.07310083434102,0.090702697939113,0.200749284238507
0,30,104,4,223,0.082790666249953,0.0426126773596,0.322316480359834
0,31,254,169,55,0.337902431487703,0.264368656629871,0.017485199964277
0,32,144,125,140,0.106850039756879,0.100961443225116,0.108363495971702
0,33,7,212,90,0.092631928616825,0.245162986295141,0.052963384075707
0,34,2,11,40,0.001503997756469,0.001101533992908,0.007488357781337
0,35,151,162,254,0.163583859685529,0.155778606529671,0.418888016028478
0,36,249,117,69,0.305817513801735,0.191158059933449,0.02156914631041
0,37,112,219,146,0.136636324055894,0.265554594727267,0.123693316969438
0,38,86,90,196,0.068247042915984,0.054911760166187,0.238819243768184
0,39,192,243,19,0.245515478171311,0.384107780619638,0.020392230760309
0,40,173,37,168,0.136304491771549,0.0715466744417,0.16245245667115
0,41,56,141,126,0.052150673333992,0.095115315061203,0.088772464335735
0,42,46,101,189,0.053801730586971,0.055194043511391,0.220519612382226
0,43,183,204,105,0.198336092773178,0.260634319216682,0.062310516591677
0,44,213,28,210,0.219058010116335,0.11221313332765,0.268866367905485
0,45,64,178,4,0.066687241996573,0.162870472601227,0.009681562744258
0,46,121,52,82,0.057580075514241,0.036027066764422,0.034428568048815
0,47,239,157,132,0.292219921775272,0.223397987916906,0.089095984296573
0,48,129,74,62,0.066577459977956,0.048626361369136,0.018470272341655
0,49,24,226,232,0.14363754379804,0.271227560480423,0.346596223360398
0,50,26,68,102,0.016829470395286,0.021684125020214,0.05603302676037
0,51,140,236,176,0.181040034568751,0.320706011329048,0.183523100871157
