level_rank,grey_L,n_colors,n_out_of_gamut,max_out_of_gamut_channels
0,62.988231990194976,36,0,0
1,64.98823199019498,36,0,0
2,66.98823199019498,36,0,0
3,68.98823199019498,36,0,0
4,70.98823199019498,36,4,1
5,72.98823199019498,36,6,1
6,74.98823199019498,36,8,1
7,76.98823199019498,36,10,1
8,78.98823199019498,36,12,1
9,80.98823199019498,36,14,1
10,82.98823199019498,36,15,1
