output_id,base_color_id,description,target_order,level_rank,level_index,offset_steps,offset_L,grey_L,grey_u,grey_v,delta_L,delta_U,delta_V,target_L,target_u,target_v,target_X,target_Y,target_Z,pred_r_float,pred_g_float,pred_b_float,pred_r_int,pred_g_int,pred_b_int,in_gamut,out_of_gamut_channels
1,0,RED handle,0,0,0,-5,-10.0,62.988231990194976,-1.14292547643406,-44.41300317248697,0.0,45.30400801666679,2.2081055997562062,62.988231990194976,44.161082540232734,-42.20489757273076,0.15648151212371483,0.11909789677105893,0.19515739043347968,180.48116505146027,134.24276288598776,174.49136406183243,180,134,174,True,0
2,1,"between RED and YELLOW, step 1 of 5",1,0,0,-5,-10.0,62.988231990194976,-1.14292547643406,-44.41300317248697,0.0,44.57649568487194,11.025903391501387,62.988231990194976,43.43357020843788,-33.38709978098558,0.1520574167955483,0.11909789677105893,0.17575380957245512,178.38410697877407,136.33547589182854,166.43334545195103,178,136,166,True,0
3,2,"between RED and YELLOW, step 2 of 5",2,0,0,-5,-10.0,62.988231990194976,-1.14292547643406,-44.41300317248697,0.0,42.694740102813135,19.671239013587495,62.988231990194976,41.55181462637908,-24.74176415889947,0.14706881081806106,0.11909789677105893,0.15792718913036172,175.93451522290707,138.59194301068783,159.25068587064743,176,139,159,True,0
4,3,"between RED and YELLOW, step 3 of 5",3,0,0,-5,-10.0,62.988231990194976,-1.14292547643406,-44.41300317248697,0.0,39.63477568334325,27.97301291083334,62.988231990194976,38.49185020690919,-16.439990261653627,0.14159574578950093,0.11909789677105893,0.14188709229997895,173.17378856241703,140.92464353889227,153.03774185478687,173,141,153,True,0
5,4,"between RED and YELLOW, step 4 of 5",4,0,0,-5,-10.0,62.988231990194976,-1.14292547643406,-44.41300317248697,0.0,35.372040056783476,35.726200453279866,62.988231990194976,34.22911458034942,-8.686802719207101,0.13571086452543105,0.11909789677105893,0.12786844565079522,170.09876556694508,143.27524490654469,147.69700303673744,170,143,148,True,0
6,5,"between RED and YELLOW, step 5 of 5",5,0,0,-5,-10.0,62.988231990194976,-1.14292547643406,-44.41300317248697,0.0,29.897177811347095,42.67664759608468,62.988231990194976,28.754252334913037,-1.736355576402289,0.1294922820090931,0.11909789677105893,0.11615902050729515,166.66426666080952,145.6073697656393,143.07202516123652,167,146,143,True,0
7,6,YELLOW handle,6,0,0,-5,-10.0,62.988231990194976,-1.14292547643406,-44.41300317248697,0.0,23.245838369923515,48.51124404491406,62.988231990194976,22.102912893489457,4.098240872427091,0.12304173989797719,0.11909789677105893,0.10711553672764325,162.78923079371452,147.8975847736001,139.17140811681747,163,148,139,True,0
8,7,"between YELLOW and GREEN, step 1 of 5",7,0,0,-5,-10.0,62.988231990194976,-1.14292547643406,-44.41300317248697,0.0,15.54539019881734,52.86852875587553,62.988231990194976,14.40246472238328,8.455525583388564,0.11650669282155314,0.11909789677105893,0.1011486175888275,158.3592252060771,150.12324694544077,136.29770686849952,158,150,136,True,0
9,8,"between YELLOW and GREEN, step 2 of 5",8,0,0,-5,-10.0,62.988231990194976,-1.14292547643406,-44.41300317248697,0.0,7.065500398230156,55.39326657530833,62.988231990194976,5.9225749217960955,10.980263402821365,0.11009557405183244,0.11909789677105893,0.09864718720856971,153.22856191545725,152.25250639021397,134.92592917755246,153,152,135,True,0
10,9,"between YELLOW and GREEN, step 3 of 5",9,0,0,-5,-10.0,62.988231990194976,-1.14292547643406,-44.41300317248697,0.0,-1.77088235378375,55.84178853554699,62.988231990194976,-2.91380783021781,11.428785363060022,0.10406401130331738,0.11909789677105893,0.09983979309472553,147.23968997597694,154.24187064170837,135.37306543439627,147,154,135,True,0
