level_rank,grey_L,n_colors,n_out_of_gamut,max_out_of_gamut_channels
0,60.0,36,0,0
1,62.0,36,0,0
2,64.0,36,0,0
3,66.0,36,0,0
4,68.0,36,0,0
5,70.0,36,0,0
6,72.0,36,0,0
7,74.0,36,0,0
8,76.0,36,0,0
9,78.0,36,0,0
10,80.0,36,0,0
