output_id,base_color_id,description,target_order,level_rank,level_index,offset_steps,offset_L,grey_L,grey_u,grey_v,delta_L,delta_U,delta_V,target_L,target_u,target_v,target_X,target_Y,target_Z,pred_r_float,pred_g_float,pred_b_float,pred_r_int,pred_g_int,pred_b_int,in_gamut,out_of_gamut_channels
1,0,RED handle,0,0,0,-5,-10.0,60.0,12.406933120096937,-8.907369814500072,0.0,45.30400801666679,2.2081055997562062,60.0,57.71094113676373,-6.699264214743866,0.1368162294923088,0.10608590602083467,0.10562571259357982,174.50338661670685,125.96783932764083,139.40738020464778,175,126,139,True,0
2,1,"between RED and YELLOW, step 1 of 5",1,0,0,-5,-10.0,60.0,12.406933120096937,-8.907369814500072,0.0,44.57649568487194,11.025903391501387,60.0,56.983428804968874,2.1185335770013154,0.1331161980662358,0.10608590602083467,0.09074397107487374,173.08788657188416,127.81595637090504,132.11495876312256,173,128,132,True,0
3,2,"between RED and YELLOW, step 2 of 5",2,0,0,-5,-10.0,60.0,12.406933120096937,-8.907369814500072,0.0,42.694740102813135,19.671239013587495,60.0,55.10167322291007,10.763869199087424,0.12892370942674306,0.10608590602083467,0.07706455259445488,171.2506129592657,129.86287660896778,123.36056672036648,171,130,123,True,0
4,3,"between RED and YELLOW, step 3 of 5",3,0,0,-5,-10.0,60.0,12.406933120096937,-8.907369814500072,0.0,39.63477568334325,27.97301291083334,60.0,52.04170880344019,19.065643096333268,0.1243058002601111,0.10608590602083467,0.06475531281528844,168.98099094629288,132.04237885773182,113.06491753086448,169,132,113,True,0
5,4,"between RED and YELLOW, step 4 of 5",4,0,0,-5,-10.0,60.0,12.406933120096937,-8.907369814500072,0.0,35.372040056783476,35.726200453279866,60.0,47.77897317688041,26.818830638779794,0.11932388662706303,0.10608590602083467,0.05400465866319618,166.28097362816334,134.30139183998108,101.7629949375987,166,134,102,True,0
6,5,"between RED and YELLOW, step 5 of 5",5,0,0,-5,-10.0,60.0,12.406933120096937,-8.907369814500072,0.0,29.897177811347095,42.67664759608468,60.0,42.30411093144403,33.769277781584606,0.11404470062413308,0.10608590602083467,0.04504242301575753,163.1591485440731,136.59606970846653,90.50317123532295,163,137,91,True,0
7,6,YELLOW handle,6,0,0,-5,-10.0,60.0,12.406933120096937,-8.907369814500072,0.0,23.245838369923515,48.51124404491406,60.0,35.652771490020456,39.603874230413986,0.10855584066656958,0.10608590602083467,0.038151765268173474,159.61875692009926,138.8861669227481,80.6280217319727,160,139,81,True,0
8,7,"between YELLOW and GREEN, step 1 of 5",7,0,0,-5,-10.0,60.0,12.406933120096937,-8.907369814500072,0.0,15.54539019881734,52.86852875587553,60.0,27.952323318914278,43.96115894137546,0.10298477240127496,0.10608590602083467,0.03365647186326633,155.64866535365582,141.13013841211796,73.52301478385925,156,141,74,True,0
9,8,"between YELLOW and GREEN, step 2 of 5",8,0,0,-5,-10.0,60.0,12.406933120096937,-8.907369814500072,0.0,7.065500398230156,55.39326657530833,60.0,19.472433518327094,46.48589676080826,0.09751198268799126,0.10608590602083467,0.03186071132417828,151.22541580349207,143.2796621695161,70.33498585224152,151,143,70,True,0
10,9,"between YELLOW and GREEN, step 3 of 5",9,0,0,-5,-10.0,60.0,12.406933120096937,-8.907369814500072,0.0,-1.77088235378375,55.84178853554699,60.0,10.636050766313188,46.93441872104692,0.09235904454898732,0.10608590602083467,0.03293983342030246,146.3304728642106,145.28148785233498,71.65462844073772,146,145,72,True,0
