kind,level_rank,level_index,offset_steps,offset_L,grey_L,grey_u,grey_v,grey_X,grey_Y,grey_Z,pred_r_float,pred_g_float,pred_b_float,pred_r_int,pred_g_int,pred_b_int,in_gamut,out_of_gamut_channels
virtual_grey,0,0,-5,-10.0,62.988231990194976,-1.14292547643406,-44.41300317248697,0.12228713122922193,0.11909789677105893,0.21195086855879713,154.22181341797113,151.34943924844265,180.51537841558456,154,151,181,True,0
virtual_grey,1,1,-4,-8.0,64.98823199019498,-1.14292547643406,-44.41300317248697,0.1313224103320502,0.1283756535686462,0.22501694453527338,158.98722890764475,155.95477122813463,185.83395302295685,159,156,186,True,0
virtual_grey,2,2,-3,-6.0,66.98823199019498,-1.14292547643406,-44.41300317248697,0.1408007784290764,0.13812314228603076,0.23864374143880296,163.6226286739111,160.43006658554077,191.31710439920425,164,160,191,True,0
virtual_grey,3,3,-2,-4.0,68.98823199019498,-1.14292547643406,-44.41300317248697,0.15073278930533687,0.1483519629275158,0.25284238159437816,168.17017525434494,164.82970610260963,196.9423833489418,168,165,197,True,0
virtual_grey,4,4,-1,-2.0,70.98823199019498,-1.14292547643406,-44.41300317248697,0.16112900612375577,0.15907371549740443,0.26762405313481014,172.67904371023178,169.21637311577797,202.69610300660133,173,169,203,True,0
background_grey,5,5,0,0.0,72.98823199019498,-1.14292547643406,-44.41300317248697,0.17199999999999993,0.17029999999999998,0.2829999999999997,177.20278456807137,173.65768119692802,208.5735896229744,177,174,209,True,0
virtual_grey,6,6,1,2.0,74.98823199019498,-1.14292547643406,-44.41300317248697,0.18335634882956,0.18204241643960561,0.29898151370617027,181.7956095188856,178.22465613484383,214.5786353945732,182,178,215,True,0
virtual_grey,7,7,2,4.0,76.98823199019498,-1.14292547643406,-44.41300317248697,0.19520863631647092,0.19431256482052445,0.3155799265300706,186.50906659662724,182.9883997142315,220.7211197912693,187,183,221,True,0
virtual_grey,8,8,3,6.0,78.98823199019498,-1.14292547643406,-44.41300317248697,0.207567451164357,0.20712204514705979,0.3328066058322608,191.38778060674667,188.01717907190323,227.01457008719444,191,188,227,True,0
virtual_grey,9,9,4,8.0,80.98823199019498,-1.14292547643406,-44.41300317248697,0.2204433863990079,0.2204824574235148,0.3506729493034034,196.46583572030067,193.37371364235878,233.47429186105728,196,193,233,True,0
virtual_grey,10,10,5,10.0,82.98823199019498,-1.14292547643406,-44.41300317248697,0.23384703879819546,0.23440540165419257,0.3691903809630884,201.7639522254467,199.11142095923424,240.11350840330124,202,199,240,True,0
