u,v,valid,distance_to_boundary,X,Y,Z,pred_r_float,pred_g_float,pred_b_float
-100.71661804435941,-99.14719633286495,0,0.0,0.09035392537203456,0.17029999999999998,0.4955364210237103,-178.73140454292297,199.57824110984802,264.095723927021
-99.35300101866554,-99.14719633286495,0,0.0,0.09183828835430308,0.17029999999999998,0.49504163336295415,-172.80843436717987,199.14811939001083,263.98214042186737
-97.98938399297167,-99.14719633286495,0,0.0,0.0933226513365716,0.17029999999999998,0.49454684570219803,-166.6313338279724,198.732528090477,263.88275295495987
-96.62576696727778,-99.14719633286495,0,0.0,0.09480701431884014,0.17029999999999998,0.4940520580414418,-160.20317316055298,198.3312240242958,263.7972727417946
-95.26214994158391,-99.14719633286495,0,0.0,0.09629137730110865,0.17029999999999998,0.49355727038068564,-153.5290288925171,197.94416919350624,263.7257757782936
-93.89853291589004,-99.14719633286495,0,0.0,0.09777574028337718,0.17029999999999998,0.4930624827199295,-146.61583185195923,197.57092282176018,263.6678820848465
-92.53491589019617,-99.14719633286495,0,0.0,0.0992601032656457,0.17029999999999998,0.4925676950591733,-139.47251915931702,197.21123412251472,263.62309008836746
-91.1712988645023,-99.14719633286495,0,0.0,0.10074446624791424,0.17029999999999998,0.4920729073984172,-132.10973024368286,196.86456352472305,263.5911566019058
-89.80768183880843,-99.14719633286495,0,0.0,0.10222882923018277,0.17029999999999998,0.49157811973766097,-124.54046040773392,196.530432254076,263.5715192556381
-88.44406481311455,-99.14719633286495,0,0.0,0.1037131922124513,0.17029999999999998,0.49108333207690485,-116.77931606769562,196.20810315012932,263.5634180903435
-87.08044778742068,-99.14719633286495,0,0.0,0.10519755519471982,0.17029999999999998,0.49058854441614863,-108.84301632642746,195.89695304632187,263.5662907361984
-85.71683076172681,-99.14719633286495,0,0.0,0.10668191817698836,0.17029999999999998,0.49009375675539246,-100.74990659952164,195.59610038995743,263.57916444540024
-84.35321373603294,-99.14719633286495,0,0.0,0.10816628115925687,0.17029999999999998,0.4895989690946363,-92.52003461122513,195.3046940267086,263.60129445791245
-82.98959671033907,-99.14719633286495,0,0.0,0.10965064414152541,0.17029999999999998,0.4891041814338801,-84.17486160993576,195.02173081040382,263.63173842430115
-81.62597968464519,-99.14719633286495,0,0.0,0.11113500712379393,0.17029999999999998,0.488609393773124,-75.73711037635803,194.74629119038582,263.66929560899734
-80.26236265895132,-99.14719633286495,0,0.0,0.11261937010606245,0.17029999999999998,0.4881146061123678,-67.23046123981476,194.4771820306778,263.71311485767365
-78.89874563325745,-99.14719633286495,0,0.0,0.11410373308833098,0.17029999999999998,0.4876198184516117,-58.67941528558731,194.2133393883705,263.7621170282364
-77.53512860756358,-99.14719633286495,0,0.0,0.1155880960705995,0.17029999999999998,0.48712503079085545,-50.108762383461,193.95364612340927,263.81497979164124
-76.17151158186971,-99.14719633286495,0,0.0,0.11707245905286803,0.17029999999999998,0.4866302431300991,-41.54368758201599,193.69698509573936,263.87071520090103
-74.80789455617582,-99.14719633286495,0,0.0,0.11855682203513657,0.17029999999999998,0.4861354554693429,-33.0089807510376,193.44226196408272,263.9281377196312
-73.44427753048195,-99.14719633286495,0,0.0,0.1200411850174051,0.17029999999999998,0.4856406678085868,-24.52920377254486,193.18832159042358,263.9863809943199
-72.08066050478809,-99.14719633286495,0,0.0,0.12152554799967362,0.17029999999999998,0.4851458801478306,-16.12808257341385,192.93410763144493,264.0441530942917
-70.71704347909422,-99.14719633286495,0,0.0,0.12300991098194215,0.17029999999999998,0.4846510924870744,-7.828461527824402,192.67857894301414,264.1005876660347
-69.35342645340035,-99.14719633286495,0,0.0,0.12449427396421067,0.17029999999999998,0.4841563048263183,0.3481525182723999,192.42080837488174,264.1546055674553
-67.98980942770646,-99.14719633286495,0,0.0,0.1259786369464792,0.17029999999999998,0.48366151716556205,8.381666243076324,192.1597471833229,264.20543164014816
-66.6261924020126,-99.14719633286495,0,0.0,0.1274629999287477,0.17029999999999998,0.48316672950480594,16.253506243228912,191.89465820789337,264.252108335495
-65.26257537631872,-99.14719633286495,0,0.0,0.12894736291101624,0.17029999999999998,0.4826719418440497,23.946961015462875,191.6248194873333,264.29413408041
-63.89895835062485,-99.14719633286495,0,0.0,0.13043172589328478,0.17029999999999998,0.4821771541832936,31.447211354970932,191.34949386119843,264.33070331811905
-62.53534132493098,-99.14719633286495,0,0.0,0.1319160888755533,0.17029999999999998,0.48168236652253743,38.741353154182434,191.0681113600731,264.36131447553635
-61.171724299237106,-99.14719633286495,0,0.0,0.13340045185782182,0.17029999999999998,0.4811875788617812,45.818405002355576,190.7800868153572,264.38566356897354
-59.808107273543236,-99.14719633286495,0,0.0,0.13488481484009032,0.17029999999999998,0.4806927912010251,52.669566571712494,190.4851694405079,264.4032034277916
-58.44449024784936,-99.14719633286495,0,0.0,0.13636917782235888,0.17029999999999998,0.48019800354026887,59.28770184516907,190.18292605876923,264.413842856884
-57.08087322215549,-99.14719633286495,0,0.0,0.13785354080462742,0.17029999999999998,0.47970321587951276,65.66787108778954,189.87319707870483,264.41721707582474
-55.71725619646162,-99.14719633286495,0,0.0,0.13933790378689595,0.17029999999999998,0.4792084282187566,71.80675327777863,189.55575451254845,264.4135084748268
-54.35363917076774,-99.14719633286495,0,0.0,0.14082226676916446,0.17029999999999998,0.4787136405580004,77.70288929343224,189.23056796193123,264.40248906612396
-52.99002214507387,-99.14719633286495,0,0.0,0.142306629751433,0.17029999999999998,0.47821885289724425,83.35624113678932,188.89759942889214,264.38455402851105
-51.626405119379996,-99.14719633286495,0,0.0,0.14379099273370155,0.17029999999999998,0.477724065236488,88.76842752099037,188.55694770812988,264.3593841791153
-50.262788093686126,-99.14719633286495,0,0.0,0.14527535571597006,0.17029999999999998,0.4772292775757319,93.94226409494877,188.20870399475098,264.32752668857574
-48.899171067992256,-99.14719633286495,0,0.0,0.1467597186982386,0.17029999999999998,0.4767344899149757,98.88178244233131,187.85300508141518,264.289148747921
-47.53555404229838,-99.14719633286495,0,0.0,0.1482440816805071,0.17029999999999998,0.4762397022542196,103.5921160876751,187.49013975262642,264.2444783449173
-46.17193701660451,-99.14719633286495,0,0.0,0.14972844466277563,0.17029999999999998,0.4757449145934634,108.07923261076212,187.1202751994133,264.1940626502037
-44.80831999091064,-99.14719633286495,0,0.0,0.15121280764504416,0.17029999999999998,0.47525012693270724,112.34986430034041,186.74378380179405,264.13820564746857
-43.44470296521676,-99.14719633286495,0,0.0,0.15269717062731267,0.17029999999999998,0.47475533927195107,116.41139321029186,186.360931545496,264.077165722847
-42.08108593952289,-99.14719633286495,0,0.0,0.1541815336095812,0.17029999999999998,0.47426055161119496,120.2717162668705,185.97194641828537,264.0115660429001
-40.71746891382902,-99.14719633286495,0,0.0,0.15566589659184973,0.17029999999999998,0.47376576395043873,123.93910301383585,185.5772463977337,263.9419385790825
-39.35385188813515,-99.14719633286495,0,0.0,0.15715025957411827,0.17029999999999998,0.4732709762896824,127.4220690317452,185.17719626426697,263.86849611997604
-37.99023486244128,-99.14719633286495,0,0.0,0.1586346225563868,0.17029999999999998,0.4727761886289262,130.7294305600226,184.77216079831123,263.7918162345886
-36.6266178367474,-99.14719633286495,0,0.0,0.16011898553865533,0.17029999999999998,0.47228140096817,133.86994874104857,184.3624059855938,263.71243089437485
-35.26300081105353,-99.14719633286495,0,0.0,0.16160334852092384,0.17029999999999998,0.47178661330741384,136.85252269729972,183.94833460450172,263.6306896805763
-33.89938378535966,-99.14719633286495,0,0.0,0.16308771150319235,0.17029999999999998,0.47129182564665767,139.68597555533051,183.53031903505325,263.54727655649185
-32.53576675966579,-99.14719633286495,0,0.0,0.16457207448546088,0.17029999999999998,0.47079703798590156,142.37899649888277,183.1086252629757,263.46235871315
-31.172149733971906,-99.14719633286495,0,0.0,0.16605643746772944,0.17029999999999998,0.47030225032514533,144.94015596807003,182.68352687358856,263.37663531303406
-29.808532708278037,-99.14719633286495,0,0.0,0.16754080044999797,0.17029999999999998,0.4698074626643892,147.37779546529055,182.2554038465023,263.29025834798813
-28.444915682584167,-99.14719633286495,0,0.0,0.16902516343226648,0.17029999999999998,0.469312675003633,149.70007125288248,181.8244993686676,263.2038965821266
-27.081298656890297,-99.14719633286495,0,0.0,0.170509526414535,0.17029999999999998,0.4688178873428769,151.9148375093937,181.3911022245884,263.1178691983223
-25.717681631196427,-99.14719633286495,0,0.0,0.17199388939680352,0.17029999999999998,0.46832309968212066,154.02971282601357,180.9554859995842,263.0325409770012
-24.354064605502558,-99.14719633286495,0,0.0,0.17347825237907205,0.17029999999999998,0.4678283120213645,156.05196621268988,180.51768869161606,262.9482463002205
-22.990447579808674,-99.14719633286495,0,0.0,0.17496261536134058,0.17029999999999998,0.4673335243606084,157.98859499394894,180.07812067866325,262.86547154188156
-21.626830554114804,-99.14719633286495,0,0.0,0.1764469783436091,0.17029999999999998,0.46683873669985215,159.84626591205597,179.63681235909462,262.78418630361557
-20.263213528420934,-99.14719633286495,0,0.0,0.17793134132587768,0.17029999999999998,0.46634394903909604,161.631311327219,179.19399172067642,262.70518094301224
-18.899596502727064,-99.14719633286495,0,0.0,0.17941570430814616,0.17029999999999998,0.4658491613783398,163.34974631667137,178.7497879564762,262.62828826904297
-17.535979477033194,-99.14719633286495,0,0.0,0.1809000672904147,0.17029999999999998,0.4653543737175837,165.00732757151127,178.30425426363945,262.55400985479355
-16.17236245133931,-99.14719633286495,0,0.0,0.1823844302726832,0.17029999999999998,0.46485958605682753,166.6093634068966,177.85748943686485,262.48249769210815
-14.80874542564544,-99.14719633286495,0,0.0,0.18386879325495173,0.17029999999999998,0.4643647983960713,168.16097974777222,177.40959987044334,262.41399496793747
-13.445128399951571,-99.14719633286495,0,0.0,0.18535315623722026,0.17029999999999998,0.4638700107353152,169.66689594089985,176.9605627655983,262.34862327575684
-12.081511374257701,-99.14719633286495,0,0.0,0.1868375192194888,0.17029999999999998,0.463375223074559,171.1315729469061,176.5103781223297,262.2866562008858
-10.717894348563831,-99.14719633286495,0,0.0,0.1883218822017573,0.17029999999999998,0.46288043541380286,172.55923993885517,176.05907633900642,262.22813934087753
-9.354277322869947,-99.14719633286495,0,0.0,0.18980624518402586,0.17029999999999998,0.46238564775304664,173.9536739140749,175.6066346168518,262.1732094883919
-7.990660297176078,-99.14719633286495,0,0.0,0.1912906081662944,0.17029999999999998,0.4618908600922905,175.31861387193203,175.1529161632061,262.1221250295639
-6.627043271482208,-99.14719633286495,0,0.0,0.19277497114856293,0.17029999999999998,0.46139607243153435,176.65728963911533,174.69787538051605,262.0747947692871
