id	x	y	z
0	0.1539270869159184	0.15371359035570975	0.17036201161090803
1	0.1368162294923088	0.10608590602083467	0.10562571259357982
2	0.1331161980662358	0.10608590602083467	0.09074397107487374
3	0.12892370942674306	0.10608590602083467	0.07706455259445488
4	0.1243058002601111	0.10608590602083467	0.06475531281528844
5	0.11932388662706303	0.10608590602083467	0.05400465866319618
6	0.11404470062413308	0.10608590602083467	0.04504242301575753
7	0.10855584066656958	0.10608590602083467	0.038151765268173474
8	0.10298477240127496	0.10608590602083467	0.03365647186326633
9	0.09751198268799126	0.10608590602083467	0.03186071132417828
10	0.09235904454898732	0.10608590602083467	0.03293983342030246
11	0.0877419152022294	0.10608590602083467	0.03684560564536137
12	0.08381760974650586	0.10608590602083467	0.04331565770604533
13	0.08066612428067511	0.10608590602083467	0.05198119641371564
14	0.07831031196887547	0.10608590602083467	0.06247747819805948
15	0.07674634348918473	0.10608590602083467	0.07449765257116793
16	0.07596604299436514	0.10608590602083467	0.08779779822862639
17	0.07596855811054054	0.10608590602083467	0.10217934978191542
18	0.07676487304714451	0.10608590602083467	0.11746494405103419
19	0.0783783200048132	0.10608590602083467	0.133472820061724
20	0.08084251325751145	0.10608590602083467	0.1499893835494286
21	0.08419659208185153	0.10608590602083467	0.16673746810956028
22	0.08847628513274326	0.10608590602083467	0.18333754880935338
23	0.09369783075332559	0.10608590602083467	0.19926098259990108
24	0.09983043090727797	0.10608590602083467	0.21378109284654187
25	0.1067536695537865	0.10608590602083467	0.22594551759052262
26	0.11420512101779415	0.10608590602083467	0.23462590855230245
27	0.12174804372826491	0.10608590602083467	0.2387256849823561
28	0.12881646243461956	0.10608590602083467	0.23755595582054667
29	0.13486291838224168	0.10608590602083467	0.23117293194547023
30	0.13952279072928728	0.10608590602083467	0.22037096876493698
31	0.14267199966607957	0.10608590602083467	0.20633175825840122
32	0.14437047409953338	0.10608590602083467	0.1902403764580929
33	0.1447720729488268	0.10608590602083467	0.17307876588180163
34	0.1440573830244635	0.10608590602083467	0.15558314238715512
35	0.14239819101990303	0.10608590602083467	0.13827945565172362
36	0.13994341816880104	0.10608590602083467	0.1215383236758381
37	0.1464982239678442	0.11468344254355396	0.11421759592155635
38	0.1426588231483455	0.11468344254355396	0.09864517542884424
39	0.13829610007297613	0.11468344254355396	0.08430913167219412
40	0.133479550576713	0.11468344254355396	0.07139060571948841
41	0.12827327971235009	0.11468344254355396	0.06009283427776475
42	0.1227474582967282	0.11468344254355396	0.05066296953541846
43	0.11699469376925622	0.11468344254355396	0.043404472425824236
44	0.11115007273306193	0.11468344254355396	0.03866345655111948
45	0.1054050172865714	0.11468344254355396	0.03676461800007424
46	0.09999456787851117	0.11468344254355396	0.03789524901719335
47	0.09514783151138737	0.11468344254355396	0.04200458797910533
48	0.09103138511612129	0.11468344254355396	0.048813767987279155
49	0.08772999468567816	0.11468344254355396	0.05793012833244732
50	0.0852675586487181	0.11468344254355396	0.06896457940381066
51	0.08363931195138574	0.11468344254355396	0.08158895860082876
52	0.08283545882716158	0.11468344254355396	0.09554162082748574
53	0.08285351807662511	0.11468344254355396	0.11060906058160168
54	0.08370308752531169	0.11468344254355396	0.1266006188335364
55	0.08540637627748592	0.11468344254355396	0.14332179453921412
56	0.0879960366385148	0.11468344254355396	0.16054584206502953
57	0.09151022049449309	0.11468344254355396	0.17798115336980788
58	0.0959833652299887	0.11468344254355396	0.19523164016857478
59	0.10142970058076407	0.11468344254355396	0.21174920151200363
60	0.10781508306789486	0.11468344254355396	0.22678424546251105
61	0.11501352888015404	0.11468344254355396	0.23935815023660278
62	0.12275377249290084	0.11468344254355396	0.24831474829250702
63	0.1305863299954113	0.11468344254355396	0.25253282865729704
64	0.1379295416294407	0.11468344254355396	0.2513095832869738
65	0.1442204824368483	0.11468344254355396	0.24470418854932047
66	0.14908296470822496	0.11468344254355396	0.2335301443454954
67	0.15238681546872218	0.11468344254355396	0.2189973630291601
68	0.15419046155350455	0.11468344254355396	0.20232065470984256
69	0.15464908255306678	0.11468344254355396	0.18450896163653693
70	0.15394595159231655	0.11468344254355396	0.166321526093952
71	0.15225602052748177	0.11468344254355396	0.14830361407190093
72	0.14973139289571186	0.11468344254355396	0.1308422169540017
73	0.15663820617162832	0.12373337923409793	0.12326274041366854
74	0.15265608401196515	0.12373337923409793	0.10698299839144167
75	0.1481190982223266	0.12373337923409793	0.09197443911595711
76	0.14309921959377786	0.12373337923409793	0.07843175034457806
77	0.13766326693113295	0.12373337923409793	0.06657334237183449
78	0.13188490088069293	0.12373337923409793	0.05666413539847671
79	0.12586184009422885	0.12373337923409793	0.04902845351782805
80	0.11973697549280256	0.12373337923409793	0.04403537751797408
81	0.11371294867282028	0.12373337923409793	0.042030731750951775
82	0.10803862962992139	0.12373337923409793	0.0432141091871459
83	0.10295663270747615	0.12373337923409793	0.04753215891293165
84	0.09864335438583277	0.12373337923409793	0.05468905059517669
85	0.0951884514427859	0.12373337923409793	0.06426757537206938
86	0.09261688019014143	0.12373337923409793	0.07585360914863577
87	0.09092289382645315	0.12373337923409793	0.08909709115330272
88	0.09009501056460796	0.12373337923409793	0.1037181931631114
89	0.09012905614278029	0.12373337923409793	0.11948812079638794
90	0.09103319031068732	0.12373337923409793	0.13620265356571
91	0.09282846475294602	0.12373337923409793	0.1536543394805333
92	0.09554655472063528	0.12373337923409793	0.17160309593204806
93	0.09922462830691937	0.12373337923409793	0.1897426777952197
94	0.10389584926081366	0.12373337923409793	0.2076601807609872
95	0.10957245744789099	0.12373337923409793	0.2247876703723572
96	0.11621695564357497	0.12373337923409793	0.2403520580551917
97	0.12369770641041276	0.12373337923409793	0.2533476003087126
98	0.13173437166603247	0.12373337923409793	0.2625891756115063
99	0.13986429457864918	0.12373337923409793	0.266929747002081
100	0.14748954600650688	0.12373337923409793	0.26565178870065287
101	0.1540311701106101	0.12373337923409793	0.2588174784337902
102	0.15910106235934016	0.12373337923409793	0.24726034085442852
103	0.16256287785272477	0.12373337923409793	0.23221979204725468
104	0.16447364918645818	0.12373337923409793	0.21494158840430663
105	0.164990055126821	0.12373337923409793	0.1964625865741223
106	0.16429822790504314	0.12373337923409793	0.17756566325194534
107	0.16257642013267223	0.12373337923409793	0.1588157836317529
108	0.15998001144162635	0.12373337923409793	0.1406165614494505
109	0.16724671787289122	0.1332473160967697	0.13277279519072618
110	0.16311855259259833	0.1332473160967697	0.11576911200643339
111	0.15840329702987474	0.1332473160967697	0.1000721549812611
112	0.15317541472008034	0.1332473160967697	0.08589042647428666
113	0.14750446483176066	0.1332473160967697	0.07345785866643609
114	0.14146765052001659	0.1332473160967697	0.06305759125292597
115	0.13516790507614332	0.1332473160967697	0.05503537463377649
116	0.12875610802219903	0.1332473160967697	0.04978389749798141
117	0.1224464053674214	0.1332473160967697	0.047670713358964105
118	0.11650185923853566	0.1332473160967697	0.04890807413423752
119	0.11117894923034773	0.1332473160967697	0.053439979332014845
120	0.10666414940936846	0.1332473160967697	0.060953168168798616
121	0.10305212856387286	0.1332473160967697	0.07100520262359289
122	0.10036891387183275	0.1332473160967697	0.08315623488444038
123	0.09860773113337445	0.1332473160967697	0.0970337184365159
