id,n_rows,r_target_mean,g_target_mean,b_target_mean,r_pred_mean,g_pred_mean,b_pred_mean,mae_rgb_mean
0,3,0.0,0.0,0.0,13.328159749507904,14.613846093416214,13.488214761018753,13.777777777777777
1,3,255.0,255.0,255.0,252.57499039173126,255.0,252.48591303825378,1.6666666666666667
2,3,11.0,115.0,212.0,29.10132870078087,117.17722026631236,214.45156008005142,7.444444444444444
3,3,157.0,218.0,2.0,159.07872293144464,219.72912475466728,23.24010521173477,8.333333333333334
4,3,242.0,14.0,183.0,241.52780264616013,28.16456750035286,178.51777747273445,6.111111111111111
5,3,101.0,163.0,110.0,101.94507863372564,164.5816731452942,114.01999501511455,2.3333333333333335
6,3,92.0,34.0,56.0,87.68981613218784,26.634346544742584,45.49617722630501,7.222222222222221
7,3,202.0,139.0,237.0,200.48017844557762,142.40491427481174,239.03456389904022,2.222222222222222
8,3,164.0,93.0,84.0,164.14464212954044,90.71018919348717,81.68006241321564,1.3333333333333333
9,3,51.0,244.0,130.0,41.407885402441025,243.6351442337036,133.0591156333685,4.222222222222222
10,3,36.0,29.0,67.0,25.3488527238369,22.28901118040085,56.25166982412338,9.666666666666666
11,3,178.0,180.0,147.0,177.9667779058218,179.7779519855976,147.18503307551146,0.0
12,3,220.0,100.0,46.0,220.53131997585297,97.16143298894167,39.62306037545204,3.3333333333333335
13,3,75.0,202.0,248.0,57.51966178417206,199.28978085517883,247.49727725982666,6.888888888888888
14,3,115.0,76.0,174.0,116.02362275123596,67.46857926249504,172.05950088799,3.888888888888889
15,3,229.0,229.0,120.0,231.6255035996437,230.85583969950676,125.74122601887211,3.6666666666666665
16,3,139.0,50.0,194.0,144.21992108225822,43.153390139341354,193.45070004463196,4.222222222222222
17,3,29.0,155.0,21.0,28.312513828277588,156.45860899239779,20.69246605038643,0.5555555555555555
18,3,17.0,60.0,154.0,21.90584734082222,49.59652706980705,151.9536568596959,5.666666666666667
19,3,134.0,149.0,76.0,140.14407105743885,153.64229004830122,69.91949081420898,5.666666666666667
20,3,232.0,66.0,246.0,232.1742169559002,54.96869146823883,246.2415637075901,3.7777777777777772
21,3,126.0,235.0,32.0,127.01769829262048,236.21191069483757,30.1953786611557,1.2222222222222223
22,3,71.0,109.0,118.0,61.754808127880096,110.24612586945295,123.57445787638426,5.333333333333333
23,3,208.0,196.0,160.0,207.30273261666298,194.70024019479752,158.358336687088,1.3333333333333333
24,3,191.0,19.0,27.0,189.2129673063755,23.236753791570663,25.03212958574295,2.6666666666666665
25,3,41.0,186.0,203.0,40.37450551986694,183.99086698889732,204.69628781080246,1.5555555555555556
26,3,63.0,83.0,12.0,50.74664428830147,76.75054132938385,17.6921546459198,8.0
