step,train_total_loss,train_data_loss,train_mae_rgb,train_rmse_rgb,test_data_loss,test_mae_rgb,test_rmse_rgb
1.0,0.6231274008750916,0.555545449256897,80.5972687114682,95.03202879315272,0.428654283285141,72.42354129836895,83.47640793626029
100.0,0.03995410352945328,0.03965780884027481,20.262459903137966,24.314758559710395,0.03362458944320679,18.286079421432483,22.88099694689978
200.0,0.035778142511844635,0.035445280373096466,19.2668831399435,23.199115807034914,0.03183232247829437,17.7907872122402,22.44391378962817
300.0,0.027066180482506752,0.026539640501141548,16.61764914498561,20.425535914003973,0.02698827162384987,17.144656885725755,20.94583742501563
400.0,0.019077476114034653,0.01833369955420494,13.57563038829714,17.198251990884998,0.019823729991912842,14.98968696501106,17.95158829214108
500.0,0.014653733931481838,0.013678272254765034,11.748904716062048,14.910795714820354,0.015199010260403156,13.477250058824817,15.718744076758862
600.0,0.012368055991828442,0.011192169040441513,10.775932569654175,13.488614312955857,0.012458323501050472,12.201377830468118,14.231150214951413
700.0,0.011144056916236877,0.009799291379749775,10.191858944710757,12.621400084515018,0.010666651651263237,11.301870903931558,13.16813499710173
800.0,0.010331275872886181,0.008837619796395302,9.670133653230689,11.986099216810748,0.009355174377560616,10.508960461657908,12.332075209869467
900.0,0.009701383300125599,0.00806930661201477,9.200238961326303,11.453238033679918,0.0083229448646307,9.832648534327745,11.63184822437722
1000.0,0.009183254092931747,0.007419046480208635,8.77449539927007,10.982071467171927,0.007479529362171888,9.207970657075444,11.026745181984564
1100.0,0.00874682329595089,0.006855102255940437,8.371619230009339,10.556432281192942,0.0067771016620099545,8.622673286125064,10.496202674990457
1200.0,0.008373783901333809,0.0063582914881408215,7.990238151771051,10.166709807070538,0.006189696490764618,8.098662648970882,10.031015602129889
1300.0,0.008051282726228237,0.005915349815040827,7.63543321809007,9.806192844043249,0.005701571702957153,7.704186807386577,9.627366909013041
1400.0,0.007770806550979614,0.005517848767340183,7.3080438809648705,9.470983717471507,0.005300713703036308,7.344640811594824,9.28276615278004
1500.0,0.007527358364313841,0.005161533132195473,7.000267335181987,9.160086312067172,0.004976796451956034,7.012324629661937,8.994668910565373
1600.0,0.007317830808460712,0.004845052491873503,6.709878843955144,8.874802546882652,0.0047202217392623425,6.709579912324746,8.759744080441791
1700.0,0.007139426656067371,0.0045683421194553375,6.447369851163692,8.617454659294804,0.004522331058979034,6.468580180468659,8.574156774660107
1800.0,0.006988664157688618,0.004330726806074381,6.21577789420331,8.39003170064652,0.004375025164335966,6.288592652417719,8.433357556571268
1900.0,0.006861156318336725,0.004129551816731691,6.020106892369825,8.192518175762896,0.004269581753760576,6.126472636436422,8.331110427783738
2000.0,0.006752092856913805,0.0039603207260370255,5.857683683998055,8.022640480663412,0.0041963174007833,6.008721933932975,8.259322084746174
2100.0,0.006656787358224392,0.0038177408277988434,5.720553469235698,7.876717251579958,0.00414504436776042,5.956869749921477,8.208708239264709
2200.0,0.006570835597813129,0.0036965503823012114,5.6083420960460275,7.750570567063095,0.004105697385966778,5.901715425800325,8.169654326312916
2300.0,0.006490055471658707,0.003591859247535467,5.509340885632016,7.639956366550669,0.004069497808814049,5.834417279874389,8.133559354416816
2400.0,0.006410342175513506,0.0034991821739822626,5.416691748489522,7.5406978726877245,0.004029777832329273,5.787992081029289,8.093768186319393
2500.0,0.006327529437839985,0.003414207836613059,5.327322375186616,7.448522228086832,0.003982748370617628,5.732172923802864,8.046400793409013
2600.0,0.0062378933653235435,0.003332599066197872,5.235811553021065,7.358848768542929,0.003927553538233042,5.663737740416157,7.990450849343731
