id,n_rows,X_target_mean,Y_target_mean,Z_target_mean,X_pred_mean,Y_pred_mean,Z_pred_mean,mae_xyz_mean
0,3,3.0258317994801695e-05,1.6451715718135642e-05,1.8890276619166348e-05,0.0,0.0005435252096503973,0.0021726160775870085,0.0009036858709649685
1,3,0.3456271602770004,0.3772166732675517,0.3787503481438363,0.3505610525608063,0.3771093785762787,0.38982170820236206,0.005379675717593729
2,3,0.0661601863721018,0.06374922349502847,0.3079738110285078,0.06213759258389473,0.057032905519008636,0.3109497129917145,0.004571604575811194
3,3,0.16011515036477622,0.26600196424754924,0.013082451044604662,0.16090255975723267,0.2669089734554291,0.007594603579491377,0.0023940886884831897
4,3,0.25452635448162475,0.12510397994221764,0.20571670396970254,0.24615272879600525,0.11590880155563354,0.21251673996448517,0.008122946688995396
5,3,0.07645197279217765,0.12645447727693163,0.06992755373667046,0.07639110088348389,0.1269475221633911,0.0710340067744255,0.0005534566109694278
6,3,0.02716551521541986,0.015601199787231275,0.01568738022405892,0.024620454758405685,0.015842154622077942,0.016104871407151222,0.0010678354916510478
7,3,0.20455650611164203,0.14355960116114652,0.3692459494574345,0.20551373064517975,0.14296671748161316,0.36050519347190857,0.0034302880661989943
8,3,0.10552072884412685,0.07423803557609825,0.03715080473321596,0.10796988010406494,0.07361289113759995,0.03700926899909973,0.0010719438108508774
9,3,0.12780761734210033,0.3049778550866708,0.1045552869963966,0.12545055150985718,0.2962856888771057,0.1069459468126297,0.004479963952680437
10,3,0.007313875263845557,0.005050379150981222,0.022957374192180583,0.007759161293506622,0.00765638193115592,0.021206170320510864,0.0016008308938351614
11,3,0.16654135061505115,0.18624504057989752,0.12899415004211479,0.16732734441757202,0.18681934475898743,0.13078708946704865,0.0010510791355148874
12,3,0.1995557717763702,0.12377461500174032,0.010235642449731247,0.20199377834796906,0.12398369610309601,0.011952022090554237,0.0014544891045925
13,3,0.13280679651075147,0.19021442088182336,0.4088241249905222,0.13455811142921448,0.1986488699913025,0.40144985914230347,0.005853343292053608
14,3,0.07102397002861018,0.045880746879119215,0.19377493802123688,0.07050314545631409,0.04506003111600876,0.20077607035636902,0.002780890890179568
15,3,0.28175088183284686,0.3298584975456438,0.08165469375665362,0.27545493841171265,0.3243712782859802,0.083509162068367,0.0045458769975037045
16,3,0.09557952247537893,0.04964019378501646,0.2480415114793251,0.09559130668640137,0.04900061711668968,0.2540278732776642,0.0022425170299335846
17,3,0.04075459518261471,0.1056931851385034,0.007507865515108787,0.041186925023794174,0.10808595269918442,0.008662903681397438,0.00132671185604971
18,3,0.0287567104950177,0.020965572653968676,0.14936893726164446,0.029338810592889786,0.01987549103796482,0.15455655753612518,0.002286600662785552
19,3,0.08987535781972276,0.11608506291618172,0.03266437579366075,0.09012016654014587,0.1152922734618187,0.03399064019322395,0.0007879541914497831
20,3,0.24525576528702178,0.12453454153424288,0.39041012085408267,0.24679133296012878,0.124982088804245,0.38696643710136414,0.0018089328986092123
