step,train_total_loss,train_data_loss,train_mae_xyz,train_rmse_xyz,test_data_loss,test_mae_xyz,test_rmse_xyz
1.0,0.5305440425872803,0.4034459888935089,0.5915698967832169,0.6351739866589792,0.4078032076358795,0.5943298578215566,0.6385947363759619
100.0,0.0013065258972346783,0.0011973619693890214,0.02638978986053767,0.032509878314191824,0.0009061646414920688,0.02481982367391719,0.030102567650230283
200.0,0.0012810567859560251,0.0011748758843168616,0.02594609421921331,0.03196701241069733,0.0008856604690663517,0.024224194200419418,0.029760047930556782
300.0,0.0012575223809108138,0.001150875585153699,0.025684971931407573,0.031624487507287656,0.0008675924618728459,0.024054187731497822,0.029454922251657103
400.0,0.0012287419522181153,0.001120316912420094,0.02534540460951623,0.03119397393798321,0.0008425241685472429,0.023785620378010807,0.02902626667611892
500.0,0.0011913944035768509,0.0010794292902573943,0.024886217382559653,0.030624474727729917,0.0008080004481598735,0.023366717071884213,0.028425348077999017
600.0,0.0011405432596802711,0.0010226326994597912,0.02424534261094711,0.02983019589424132,0.0007601675461046398,0.022699634149971937,0.027571135424611197
700.0,0.0010703682200983167,0.0009432455408386886,0.0233293047519578,0.02870071747826247,0.0006953119882382452,0.021721213681269846,0.02636876864724629
800.0,0.0009779294487088919,0.0008375572506338358,0.022030286827835012,0.027144130426916435,0.0006131058908067644,0.0203103429757294,0.024760974998029907
900.0,0.0008710896363481879,0.0007136859931051731,0.02037237413086031,0.025209202976768014,0.0005204134504310787,0.019002685604785234,0.022812570181082036
1000.0,0.0007688761688768864,0.0005927227321080863,0.018487810516343635,0.02313027488427154,0.00043104434735141695,0.017401993651143755,0.020761607482471894
1100.0,0.0006862771115265787,0.0004925460088998079,0.016815940805180105,0.02120667399471622,0.0003581117489375174,0.015469968850614671,0.018923840744867217
1200.0,0.000626328052021563,0.0004182369739282876,0.015405814411191142,0.019642495285605705,0.00030525439069606364,0.014135802045129875,0.01747153207329496
1300.0,0.0005797993508167565,0.00036069215275347233,0.014300988967812426,0.01834271557201309,0.0002628218207973987,0.012901679391236813,0.016211780026061755
1400.0,0.0005330539424903691,0.0003042567113880068,0.013140870746609702,0.01695104871314572,0.00021541792375501245,0.011470769155345074,0.01467712315809288
1500.0,0.000481313094496727,0.00024234424927271903,0.01173706885447422,0.015237167424262434,0.00015934795374050736,0.009655465134541899,0.012623309865795494
1600.0,0.0004305776674300432,0.00018139522580895573,0.010112712465669995,0.013265248847356689,0.0001079448193195276,0.007995460144788302,0.010389649750503492
1700.0,0.0003889167564921081,0.00013098836643621325,0.008551015955993502,0.011320018605859352,7.29224193491973e-05,0.006688814106941498,0.008539462784712269
1800.0,0.00035937674692831933,9.509438677923754e-05,0.007231307813187872,0.009669131483001706,5.2681432862300426e-05,0.005753675505291479,0.007258198197616019
1900.0,0.00034004816552624106,7.194636418716982e-05,0.0062472995958311964,0.008425478833860108,4.1056486224988475e-05,0.005161738972984737,0.0064075339572504915
2000.0,0.0003273745533078909,5.756518294219859e-05,0.005559948893469848,0.007546414181602086,3.386606113053858e-05,0.00470863474614076,0.005819455864575995
2100.0,0.00031858301372267306,4.852081838180311e-05,0.005093143669139416,0.006934377008938618,2.9099439416313544e-05,0.004365755631711126,0.005394389881247861
2200.0,0.0003120524634141475,4.2622177716111764e-05,0.004775995191396744,0.006503352823175713,2.5808685677475296e-05,0.004101778146312674,0.005080225186424778
2300.0,0.00030689366394653916,3.860532524413429e-05,0.004554840995590323,0.006192463910687801,2.3478991352021694e-05,0.003889919955716571,0.004845512849390936
2400.0,0.00030260009225457907,3.5748889786191285e-05,0.0043848207794914915,0.005961257183811534,2.179784314648714e-05,0.003725147882288735,0.0046688165273394465
2500.0,0.00029886781703680754,3.3633088605711237e-05,0.004258258848913732,0.005783981845039906,2.0566551029332913e-05,0.003600349260306399,0.004535036688429077
2600.0,0.0002955071977339685,3.200500214006752e-05,0.004160033180856809,0.005643915171264939,1.965788032975979e-05,0.003511346183606482,0.004433721299916836
2700.0,0.00029239716241136193,3.070640377700329e-05,0.004079493064359947,0.005528949368575449,1.8986458599101752e-05,0.0034491330595200222,0.00435734559572813
2800.0,0.0002894580247811973,2.963424049085006e-05,0.004011791790250488,0.005432043358808605,1.849351428973023e-05,0.0034071237369264124,0.004300409174894746
2900.0,0.00028663669945672154,2.871808101190254e-05,0.003952694739160015,0.005347905106530263,1.8135624486603774e-05,0.0033818300694945557,0.00425859467693658
