rep,id,r,g,b,X,Y,Z,source_file,valid_rgb,valid_xyz
0,0,0,0,0,2.7280200340187205e-05,1.1315507715762993e-05,2.89779104648542e-05,color_battery_amoled_B.csv,True,True
0,1,255,255,255,0.3459295617563859,0.3772726971138307,0.3786307583642055,color_battery_amoled_B.csv,True,True
0,2,11,115,212,0.0662464723324932,0.06388181808301753,0.30786615383091126,color_battery_amoled_B.csv,True,True
0,3,157,218,2,0.16037289945633756,0.26608432359270406,0.012997558204131135,color_battery_amoled_B.csv,True,True
0,4,242,14,183,0.2546098659207443,0.12515057203300375,0.20584410279207485,color_battery_amoled_B.csv,True,True
0,5,101,163,110,0.07642497435783614,0.126496817638447,0.06988550687327226,color_battery_amoled_B.csv,True,True
0,6,92,34,56,0.027216101933493,0.015635818397189236,0.01566880574343141,color_battery_amoled_B.csv,True,True
0,7,202,139,237,0.2046454187509364,0.14347254592228728,0.36971953999285967,color_battery_amoled_B.csv,True,True
0,8,164,93,84,0.1056262335477549,0.07430873239459104,0.03716937645604648,color_battery_amoled_B.csv,True,True
0,9,51,244,130,0.1279527815001227,0.30522619841235504,0.1043887818241479,color_battery_amoled_B.csv,True,True
0,10,36,29,67,0.0073541558670104715,0.005066285808375863,0.023009721831006563,color_battery_amoled_B.csv,True,True
0,11,178,180,147,0.16662110558918344,0.18626522672844623,0.12928070884203804,color_battery_amoled_B.csv,True,True
0,12,220,100,46,0.1996795120267765,0.12384677789728689,0.010210268591713909,color_battery_amoled_B.csv,True,True
0,13,75,202,248,0.1326634879721661,0.19008703782695746,0.40946216753015435,color_battery_amoled_B.csv,True,True
0,14,115,76,174,0.07104245594617835,0.04593486154295054,0.1939030052938746,color_battery_amoled_B.csv,True,True
0,15,229,229,120,0.2815532541334131,0.3298320115127274,0.08177520291502038,color_battery_amoled_B.csv,True,True
0,16,139,50,194,0.09572604930457007,0.04980011964796941,0.24827445878783588,color_battery_amoled_B.csv,True,True
0,17,29,155,21,0.04078222322934223,0.10573147033520416,0.007514856057950703,color_battery_amoled_B.csv,True,True
0,18,17,60,154,0.0288352839299855,0.021038748968063486,0.1495247511553907,color_battery_amoled_B.csv,True,True
0,19,134,149,76,0.08993839737032838,0.11616606462234151,0.03264087725738406,color_battery_amoled_B.csv,True,True
0,20,232,66,246,0.2454271323649721,0.12453783138691014,0.3913692510048173,color_battery_amoled_B.csv,True,True
0,21,126,235,32,0.14275480351712003,0.2952739653304801,0.019415575084290718,color_battery_amoled_B.csv,True,True
0,22,71,109,118,0.039786114340079316,0.05232612579405839,0.08013895129549611,color_battery_amoled_B.csv,True,True
0,23,208,196,160,0.2241381372983875,0.23498857949731225,0.1537795144209624,color_battery_amoled_B.csv,True,True
0,24,191,19,27,0.13630187471411773,0.06804378408113838,0.0026739122714864124,color_battery_amoled_B.csv,True,True
0,25,41,186,203,0.09867267706620773,0.15959703877648082,0.27766299119082793,color_battery_amoled_B.csv,True,True
0,26,63,83,12,0.018816229979069458,0.028595292086151074,0.0018926579013409611,color_battery_amoled_B.csv,True,True
0,27,169,250,218,0.22171174699820365,0.3302359742300035,0.3079393896150741,color_battery_amoled_B.csv,True,True
0,28,198,44,96,0.15252948313408674,0.07887258207434894,0.047223613853157015,color_battery_amoled_B.csv,True,True
0,29,81,133,182,0.07136602671312584,0.08277938310127894,0.21549683738703176,color_battery_amoled_B.csv,True,True
0,30,104,4,223,0.08145274826590232,0.037575985904913484,0.3449622151693459,color_battery_amoled_B.csv,True,True
0,31,254,169,55,0.29750164160141435,0.235306485625453,0.01800141727679229,color_battery_amoled_B.csv,True,True
0,32,144,125,140,0.09948901927547288,0.0914073903600043,0.1161755517743001,color_battery_amoled_B.csv,True,True
