id	r	g	b
399	182	160	185
400	179	161	181
401	177	162	177
402	173	163	175
403	170	165	173
404	167	166	172
405	163	167	173
406	160	168	174
407	156	169	176
408	153	170	179
409	151	171	183
410	148	172	187
411	146	172	192
412	145	172	197
413	145	172	202
414	145	172	207
415	146	172	212
416	147	172	216
417	150	171	220
418	152	170	223
419	155	169	226
420	159	168	228
421	162	167	230
422	166	166	231
423	170	165	231
424	173	163	230
425	176	162	228
426	179	161	226
427	181	160	223
428	183	160	219
429	185	159	215
430	186	159	210
431	186	159	205
432	188	161	203
433	187	161	198
434	186	162	193
435	184	163	188
436	182	164	184
437	179	165	180
438	176	166	178
439	173	167	176
440	169	168	175
441	166	169	176
442	162	170	177
443	159	172	179
444	156	172	182
445	153	173	186
446	151	174	190
447	149	174	195
448	148	175	200
449	147	175	205
450	147	175	210
451	148	174	215
452	150	174	219
453	152	173	223
454	155	173	226
455	158	172	229
456	161	171	231
457	165	169	233
458	168	168	234
459	172	167	234
460	175	166	233
461	178	165	231
462	181	164	229
463	184	163	226
464	186	162	222
465	187	161	218
466	188	161	213
467	188	161	208
468	190	163	206
469	190	164	201
470	188	164	196
471	187	165	191
472	184	166	187
473	181	167	183
474	178	168	181
475	175	169	179
476	172	171	178
477	168	172	178
478	165	173	180
479	161	174	182
480	158	175	185
481	155	176	189
482	153	176	193
483	151	177	198
484	150	177	203
485	149	177	208
486	150	177	213
487	151	177	218
488	152	176	222
489	154	176	226
490	157	175	229
491	160	174	232
492	164	173	234
493	167	172	236
494	171	171	237
495	174	169	237
496	178	168	236
497	181	167	234
498	183	166	232
499	186	165	229
500	188	164	225
501	190	164	221
502	190	163	216
503	191	163	211
504	193	166	209
505	192	166	204
506	191	167	199
507	189	167	194
508	187	168	190
509	184	169	186
510	181	171	183
511	177	172	182
512	174	173	181
513	170	174	181
514	167	175	183
515	164	176	185
516	160	177	188
517	158	178	192
518	155	179	196
519	153	179	201
520	152	179	206
521	152	179	211
522	152	179	216
523	153	179	221
524	154	179	225
525	157	178	229
526	159	177	232
527	162	176	235
528	166	175	237
529	170	174	239
530	173	173	240
531	177	172	240
532	180	171	239
533	183	169	237
534	186	168	235
535	188	167	232
536	190	167	228
537	192	166	224
538	193	166	219
539	193	166	214
540	195	168	212
541	194	168	207
542	193	169	202
543	191	170	197
544	189	171	193
545	186	172	189
546	183	173	186
547	180	174	185
548	176	175	184
549	173	176	184
550	169	177	185
551	166	178	188
552	163	179	191
553	160	180	195
554	157	181	199
555	156	181	204
556	154	182	209
557	154	182	214
558	154	182	219
559	155	181	223
560	157	181	228
561	159	180	232
562	162	180	235
563	165	179	238
564	168	177	240
565	172	176	242
566	175	175	243
567	179	174	242
568	182	173	242
569	185	172	240
570	188	171	238
571	191	170	235
572	193	169	231
573	194	168	227
574	195	168	222
575	195	168	217
576	197	170	215
577	197	171	210
578	195	171	205
579	193	172	200
580	191	173	196
581	188	174	192
582	185	175	189
583	182	176	187
584	178	177	187
585	175	179	187
586	171	180	188
587	168	181	190
588	165	182	193
589	162	182	197
590	160	183	202
591	158	184	207
592	157	184	212
593	156	184	217
594	157	184	222
595	157	184	226
596	159	183	231
597	161	183	234
598	164	182	238
599	167	181	241
600	171	180	243
601	174	179	245
602	178	177	245
603	181	176	245
604	185	175	245
605	188	174	243
606	190	173	241
607	193	172	238
608	195	171	234
609	196	171	229
610	197	170	225
611	198	170	220
612	200	172	218
613	199	173	212
614	198	173	207
615	196	174	203
616	193	175	198
617	191	176	195
618	187	177	192
619	184	178	190
620	181	180	189
621	177	181	190
622	174	182	191
623	170	183	193
624	167	184	196
625	164	185	200
626	162	185	205
627	160	186	209
628	159	186	214
629	158	186	220
630	159	186	225
631	160	186	229
632	161	185	233
633	163	185	237
634	166	184	241
635	169	183	244
636	173	182	246
637	176	181	247
638	180	180	248
639	183	178	248
640	187	177	247
641	190	176	246
642	193	175	244
643	195	174	240
644	197	173	237
645	199	173	232
646	200	172	228
647	200	172	223
648	202	175	220
649	201	175	215
650	200	175	210
651	198	176	205
652	196	177	201
653	193	178	197
654	190	179	194
655	186	180	193
656	183	182	192
657	179	183	192
658	176	184	194
659	172	185	196
660	169	186	199
661	166	187	203
662	164	187	207
663	162	188	212
664	161	188	217
665	161	188	222
666	161	188	227
667	162	188	232
668	163	188	236
669	165	187	240
670	168	186	244
671	171	185	247
672	175	184	249
673	178	183	250
674	182	182	251
675	186	181	251
676	189	179	250
677	192	178	249
678	195	177	246
679	197	176	243
680	199	175	239
681	201	175	235
682	202	175	230
683	202	174	225
684	204	177	223
685	203	177	218
686	202	178	213
687	200	178	208
688	198	179	204
689	195	180	200
690	192	181	197
691	188	183	195
692	185	184	195
693	181	185	195
694	178	186	196
695	174	187	199
696	171	188	202
697	168	189	205
698	166	190	210
699	164	190	215
700	163	190	220
701	163	190	225
702	163	190	230
703	164	190	235
704	165	190	239
705	168	189	243
706	170	188	246
707	173	187	249
708	177	186	252
709	181	185	253
710	184	184	254
711	188	183	254
712	191	181	253
713	194	180	251
714	197	179	249
715	200	178	246
716	202	178	242
717	203	177	238
718	204	177	233
719	204	177	228
720	206	179	226
721	205	179	220
722	204	180	215
723	202	180	211
724	200	181	206
725	197	182	203
726	194	184	200
727	191	185	198
728	187	186	197
729	183	187	198
730	180	188	199
731	177	189	201
732	173	190	204
733	171	191	208
734	168	192	213
735	166	192	217
736	165	192	222
737	165	193	228
738	165	192	233
739	166	192	237
740	168	192	241
741	170	191	245
742	172	190	249
743	176	189	252
744	179	188	254
745	183	187	255
746	186	186	255
747	190	185	255
748	193	184	255
749	196	182	254
750	199	181	252
751	202	180	249
752	204	180	245
753	205	179	240
754	206	179	236
755	206	179	231
