path_s,fit_u,fit_v
0.0,2.324913856842974,55.90018497714729
0.0569184183348341,2.2680427839446358,55.90250605731202
0.11383688392748317,2.211168129497162,55.904738859789184
0.17075544403534657,2.1542899833133955,55.9068833810529
0.22767414591499086,2.0974084352116926,55.90893961771668
0.28459303682173415,2.040523575015781,55.91090756653343
0.34151216400922796,1.983635492554622,55.91278722439551
0.39843157472904617,1.92674427766226,55.91457858833465
0.4553513162302633,1.8698500201776904,55.91628165552207
0.5122714357590417,1.812952809944711,55.91789642326839
0.5691919805582133,1.7560527368117835,55.91942288902366
0.6261129978668668,1.6991498906318898,55.9208610503774
0.683034534919929,1.6422443612623907,55.92221090505854
0.7399566389477492,1.585336238564885,55.92347245093548
0.7968793571756859,1.5284256124050655,55.92464568601607
0.8538027368236868,1.4715125726525802,55.925730608447616
0.9107268251058785,1.414597209180886,55.92672721651687
0.9676516692301462,1.3576796118671117,55.927635508650056
1.024577316397722,1.3007598705919117,55.928455483412854
1.0815038138027673,1.243838075239327,55.92918713951041
1.138431208631959,1.1869143156966415,55.92983047578734
1.1953595480640733,1.129988681854242,55.93038549122773
1.2522888792695706,1.0730612636054755,55.93085218495514
1.3092192494101837,1.0161321508465047,55.93123055623259
1.366150705638501,0.9592014334761687,55.931520604462584
1.4230832950975496,0.9022692013958427,55.931722329187096
1.480017064920388,0.8453355445092898,55.93183573008757
1.5369520622296835,0.7884005527225275,55.93186080698493
1.5938883341373042,0.7314643159436789,55.93179755983958
1.6508259277439035,0.6745269240828333,55.9316459887514
1.7077648901385074,0.6175884670519034,55.93140609395973
1.7647052683980975,0.5606490347644866,55.931077875843414
1.8216471095872044,0.5037087171357166,55.930661334920735
1.8785904607574886,0.4467676040821278,55.93015647184948
1.9355353689473302,0.38982578552151015,55.9295632874269
1.9924818811814178,0.33288335137276714,55.92888178258969
2.049430044470333,0.2759403915557752,55.92811195841407
2.106379905810141,0.21899699599124034,55.92725381611568
2.1633315121819794,0.16205325460055597,55.926307357049645
2.2202849105516433,0.10510925730566312,55.92527258271055
2.277240147869176,0.04816509402890645,55.92414949473246
2.3341972710684606,-0.008779145307109104,55.92293809488887
2.391156327066803,-0.06572337077965518,55.92163838509275
2.448117362764528,-0.12266749246602826,55.92025036739652
2.505080425044564,-0.17961142044368605,55.91877404399206
2.562045560772039,-0.23655506479039579,55.91720941721066
2.619012816793863,-0.2934983355843688,55.91555648952309
2.675982239938326,-0.35044114290440875,55.91381526353957
2.732953877014686,-0.40738339683005,55.9119857420097
2.7899277748127584,-0.4643250074417007,55.91006792782257
2.846903980102513,-0.5212658848207865,55.90806182400666
2.9038825396336616,-0.5782059390498895,55.905967433729884
2.9608635001352512,-0.6351450802128915,55.903784760299565
3.0178469083152573,-0.6920832183951169,55.901513807162445
3.074832810860178,-0.749020263683474,55.89915457790467
3.131821254434623,-0.8059561261665951,55.896707076251786
3.1888122856809162,-0.8628907159349839,55.894171306068735
3.24580595121868,-0.9198239430811501,55.89154727135983
3.3028022976444364,-0.9767557176997581,55.8888349762688
3.3598013715311974,-1.0336859498877633,55.88603442507872
3.416803219428067,-1.09061454974456,55.883145622212034
3.473807887859829,-1.147541427372118,55.880168572230566
3.5308154233265467,-1.204466492875126,55.87710327983549
