tablet_index,source_file,rep,has_valid_white,has_valid_grey,has_valid_black,white_X,white_Y,white_Z,grey_X,grey_Y,grey_Z,black_X,black_Y,black_Z,n_valid_vectors
0,Apollo_spec_webcolor.csv,0,True,True,True,0.38602477505689714,0.38355788149814524,0.6194201413462388,0.16612761481519034,0.16353102644896608,0.27429532051964084,0.0003100673959956244,0.0002874263121386845,0.0007698277269284938,17
1,Apollo_spec.csv,0,True,True,True,0.3935508616604281,0.39143284325899563,0.6269099201186976,0.16924652356737824,0.1677907481071269,0.2756685683152208,0.0003671513375603118,0.00031605441837556463,0.0008458184706298121,17
1,Apollo_spec.csv,1,True,True,True,0.38900859536401944,0.3863584203665594,0.630157490121896,0.1656884174933152,0.16379946228460296,0.27437323397352387,0.0003847452803216429,0.0003647981442279935,0.0009150486206975611,17
1,Apollo_spec.csv,2,True,True,True,0.3861720157769615,0.3834818999490476,0.6319917181614543,0.1639431489299667,0.16207742087117455,0.2730231049687558,0.0003942018203952965,0.00036481833086535594,0.0009156317103074168,17
2,Curiosity_spec_webcolor.csv,0,True,True,True,0.3780449088535006,0.3771848847518032,0.599287972589356,0.16193235870870004,0.16025735140762257,0.26518993624012777,0.00035453083957402584,0.00031850111234693477,0.0007539093443798367,17
3,Curiosity_spec.csv,0,True,True,True,0.3748185328987906,0.3735574244001039,0.5893617234790625,0.16243259289907533,0.16133467585100641,0.26130317038713374,0.00037372408781499386,0.00035885717474197227,0.0007834515532133421,17
3,Curiosity_spec.csv,1,True,True,True,0.3707481509211816,0.369514782838932,0.5921869058288506,0.16000305566276402,0.1587816242646081,0.26060506368910524,0.00037404073789915174,0.0003461342611952803,0.0008385596546630668,17
3,Curiosity_spec.csv,2,True,True,True,0.3691897784007295,0.366610088831851,0.5946217411035144,0.1584774933032673,0.1571653421983073,0.26013948908026585,0.00037485422612839936,0.00034797092772904557,0.000816914827681102,17
4,Sputnik_spec_webcolor.csv,0,True,True,True,0.44090913129855763,0.43490431226101234,0.7251994380937308,0.190651428800318,0.190123853494397,0.31648080774695747,0.0004607891538099844,0.00044932576454274653,0.0010638937491585932,17
5,Sputnik_spec.csv,0,True,True,True,0.4247351192503777,0.4174159483613758,0.717332743669857,0.18028812818212622,0.18090876651693008,0.2988688105169307,0.00043345756759919236,0.00037734277536453995,0.001023124859648365,17
5,Sputnik_spec.csv,1,True,True,True,0.424273334562492,0.4164616024876892,0.7181373665629577,0.17950686523890175,0.1802363468209894,0.2989016601726482,0.0006384035792601776,0.0006391385433688817,0.001341430185262532,17
5,Sputnik_spec.csv,2,True,True,True,0.4232144029926838,0.4158958171901596,0.7178335675744709,0.1794242334546204,0.1801275705998368,0.29897794452862575,0.0006551976476109192,0.0006538944501491955,0.0014161896579534038,17
6,Voyager_spec_webcolor.csv,0,True,True,True,0.409142633738498,0.4057498142656682,0.6658045422115393,0.17636835318729502,0.17442691706196686,0.29044795507467874,0.00039287119464174216,0.0003429956892003097,0.0008362642373976201,17
7,Voyager_spec.csv,0,True,True,True,0.4010066595231087,0.396921578778363,0.6510248081808159,0.17348101332611643,0.17202866296998512,0.28384064803674297,0.0004950326534699228,0.0004690034522713659,0.001034834040446939,17
7,Voyager_spec.csv,1,True,True,True,0.39802213594536534,0.3938917315221593,0.6549799495472631,0.17149109124307788,0.1702066865876211,0.282171989689236,0.0006520162818083126,0.0006328649504622918,0.001334186250880578,17
7,Voyager_spec.csv,2,True,True,True,0.39603155781587995,0.39128928012887493,0.6565079662069199,0.17017089299624835,0.16864897416063593,0.2816646393080724,0.0006301215309342372,0.0006246237082976469,0.0012847405775405388,17
