scope,tablet_index,source_file,n_valid_reps,grey_X,grey_Y,grey_Z
tablet_mean,0.0,Apollo_spec_webcolor.csv,1,0.16612761481519034,0.16353102644896608,0.27429532051964084
tablet_mean,1.0,Apollo_spec.csv,3,0.16629269666355337,0.1645558770876348,0.2743549690858335
tablet_mean,2.0,Curiosity_spec_webcolor.csv,1,0.16193235870870004,0.16025735140762257,0.26518993624012777
tablet_mean,3.0,Curiosity_spec.csv,3,0.1603043806217022,0.15909388077130726,0.26068257438550163
tablet_mean,4.0,Sputnik_spec_webcolor.csv,1,0.190651428800318,0.190123853494397,0.31648080774695747
tablet_mean,5.0,Sputnik_spec.csv,3,0.1797397422918828,0.1804242279792521,0.2989161384060682
tablet_mean,6.0,Voyager_spec_webcolor.csv,1,0.17636835318729502,0.17442691706196686,0.29044795507467874
tablet_mean,7.0,Voyager_spec.csv,3,0.17171433252181423,0.17029477457274736,0.2825590923446838
overall_tablet_mean,,ALL_TABLETS,16,0.171641363451307,0.17033848860298673,0.28286584922543645
