color_id,n_samples,fit_u_mean,fit_v_mean,delta_L_mean,delta_u_mean,delta_v_mean,rho_mean,ellipse_residual_mean
3,16,52.93325392124802,7.708267209318472,-19.296904648454507,27.854637840782672,4.193843394637829,1.1746873611583672,0.17468736115836725
4,16,26.42286327548519,75.08248170692721,-19.39053404188006,13.97711240329564,39.32050762693854,1.4545648698025224,0.4545648698025224
5,16,-31.136906766575567,70.33240932271653,-19.717093546523508,-15.9337102956382,36.61065232866519,1.4438813995486228,0.4438813995486228
7,16,-27.580264233300134,-62.10732229621831,-19.508125060186764,-14.152820011900527,-32.12975563617519,1.2572881869075214,0.2572881869075214
8,16,26.47103113488972,-58.81987454819062,-19.437249389334433,13.993977027915479,-30.47965820591418,1.2122264848823834,0.21222648488238344
9,16,40.128821825194095,2.062156183803277,-1.9912005715282382,27.93534873505814,1.4522092372699678,0.8863883794008459,-0.11361162059915404
10,16,20.26501924207828,49.30075111096528,-1.9332100057074708,14.127977318561193,34.33709735900793,0.9817842032498144,-0.018215796750185607
11,16,-20.947437175610382,45.541179948702066,-2.232649856000707,-14.497790550776985,31.587557576854657,0.9436509969279164,-0.05634900307208353
12,16,-41.594187962999804,-3.0704382859593853,-2.1375342443909062,-28.851636135719303,-2.1092661718759684,0.9188320365176439,-0.08116796348235605
13,16,-19.71880147187827,-48.68005478965346,-1.9339106416532177,-13.708922952537598,-33.86955850216491,0.966502992168114,-0.033497007831886014
14,16,19.923992868624747,-46.980797058692744,-1.822925182413874,13.913030894732943,-32.74789453987841,0.9551496882727819,-0.04485031172721815
15,16,33.92556174831818,-0.4919067044327763,10.493318403049031,27.7238170948321,-0.49387967671184896,0.7492650764842278,-0.25073492351577215
16,16,16.88098453019036,39.51888419976755,10.105340090384628,13.680793808750966,32.184946426054246,0.7940769412016636,-0.2059230587983364
17,16,-17.573733776394867,37.00255108860062,9.836790187076414,-14.405521553020241,30.02803981979145,0.7730180917798131,-0.22698190822018696
18,16,-34.25575537579312,-4.757262578366876,9.864526588279293,-27.99332748968664,-3.9613557075721126,0.7605828490230717,-0.2394171509769283
19,16,-16.296179979764904,-43.016934511390566,10.05422188534477,-13.403860800864269,-35.19147739405368,0.8435104190699754,-0.15648958093002466
20,16,16.211446231732534,-40.06383169134726,10.220196914083104,13.151210614621178,-32.850103032783,0.8065750212111332,-0.1934249787888668
